#TYPE Selected.Microsoft.ActiveDirectory.Management.ADUser
"SamAccountName","passwordlastset","passwordneverexpires"
"_meraki","30/10/2019 11:56:35","True"
"_migracao-Portal","27/07/2009 12:12:50","False"
"_MIGSRCC","29/08/2013 10:22:56","True"
"_mobile","29/06/2009 10:12:13","True"
"_modelo",,"False"
"_monitor","14/09/2009 08:05:19","True"
"_monitoramento-nfp","26/03/2018 10:47:49","True"
"_monitores","27/08/2009 09:54:10","True"
"_monitoria-mde","11/03/2015 10:36:11","True"
"_monitorprod","13/02/2014 13:14:28","True"
"_neoload","28/10/2009 13:34:12","False"
"_netbackup","05/03/2008 09:48:07","True"
"_netbakup","11/04/2018 10:40:21","True"
"_nfe","21/09/2008 22:04:08","True"
"_nfecontingenciaQAS","15/08/2019 11:09:02","True"
"_nfse","29/11/2019 09:54:40","True"
"_nfservico-qas","11/07/2019 15:05:38","True"
"_novolumis","18/08/2017 14:04:18","True"
"_ntpquota","09/06/2010 15:59:04","True"
"_ocs","12/04/2010 12:21:13","True"
"_OKTA","05/10/2018 11:37:53","True"
"_OlapCubePRD","08/03/2012 10:08:25","True"
"_paguei","16/08/2018 13:43:38","True"
"_password","23/07/2009 15:32:15","True"
"_pedidosimp","30/08/2010 15:49:22","True"
"_poc_uoldiveo","15/06/2015 12:32:21","True"
"_poc-impressao","11/04/2012 16:56:06","True"
"_portal","27/08/2009 17:12:13","True"
"_preged","28/04/2010 17:35:27","True"
"_primeprod","08/09/2010 15:09:20","True"
"_processos-themis","03/10/2013 14:06:30","True"
"_prodhyp11","03/10/2011 10:02:09","True"
"_projeto_USN_2_0","14/02/2014 16:48:05","True"
"_projetotroca","21/10/2016 12:42:57","True"
"_projeto-wiseit","30/07/2013 15:49:46","True"
"_ptwebadmin","15/12/2011 14:29:36","True"
"_qlikview","01/12/2010 09:57:38","True"
"_qnap","10/06/2019 09:55:34","True"
"_qualidade","06/10/2014 15:47:43","True"
"_qualys-scanner","13/11/2018 14:16:06","True"
"_rapid7","06/02/2020 16:08:33","True"
"_reclameaqui","30/04/2018 10:01:54","True"
"_relnfs","09/02/2010 13:46:41","True"
"_replicator","04/09/2009 11:17:32","True"
"_rfcuser","30/06/2015 11:43:52","True"
"_rfp-ti","10/03/2015 15:12:32","True"
"_ricoh","12/07/2012 15:19:24","True"
"_RPACAD01","16/03/2020 11:30:35","True"
"_rpacelog01","23/05/2019 15:09:09","True"
"_rpaceman01","31/01/2020 16:40:57","True"
"_rpatribut01","24/07/2019 11:31:36","True"
"_rpw1801","10/11/2006 18:39:35","True"
"_rpw1802","10/11/2006 16:01:44","True"
"_rpw1803","10/11/2006 15:41:24","True"
"_rpw1804","10/11/2006 15:23:08","True"
"_RRas",,"False"
"_sags","22/11/2010 16:19:30","True"
"_salesforceprod","27/06/2011 10:43:02","False"
"_san","25/03/2009 20:09:33","True"
"_sancripto","04/11/2009 12:49:09","True"
"_sandesliga","10/02/2009 13:58:01","True"
"_sap-grc-ac","09/02/2015 09:53:15","True"
"_sccmadmin","03/04/2012 13:23:47","True"
"_SEC_LDAP","27/07/2018 18:01:13","True"
"_selftamesso","15/04/2009 10:05:03","True"
"_sep","28/10/2008 11:10:12","True"
"_server",,"False"
"_servicemix","15/01/2009 08:37:11","True"
"_servicenow","07/05/2019 14:54:41","True"
"_servico-core","19/06/2008 14:09:34","True"
"_servico-sse","10/01/2018 15:56:42","True"
"_servico-SSF","07/05/2012 10:00:06","True"
"_sessao","09/11/2006 17:41:48","True"
"_sessao-hyp","31/10/2007 14:01:03","True"
"_sessao-vm","28/03/2008 16:35:38","True"
"_SFEWISEIT","11/03/2014 14:25:31","True"
"_sinc-shvb","09/11/2006 17:33:41","True"
"_sistemas","06/03/2012 14:26:23","True"
"_sistema-sap-hmlg","29/12/2014 08:29:32","True"
"_sistema-sap-prod","03/06/2017 10:46:44","True"
"_sitescope","14/12/2018 14:07:04","True"
"_sivanfe","28/09/2015 15:06:02","True"
"_skcrisplan","06/08/2014 15:55:20","True"
"_sms","13/08/2007 10:00:12","True"
"_smsldap","16/09/2009 18:20:40","True"
"_smtperp","16/08/2019 16:07:52","True"
"_solidus","27/09/2012 15:34:44","True"
"_sonic","22/03/2010 15:59:12","True"
"_sonicH","22/03/2010 15:57:37","True"
"_spnego","27/05/2010 11:07:28","True"
"_SQLAgent","27/06/2005 11:43:43","True"
"_sqlFullTextSearch","16/08/2010 10:20:02","True"
"_sqlIS","16/08/2010 10:20:33","True"
"_sqlRS","02/04/2012 10:45:53","True"
"_SQLServer","09/11/2006 17:53:16","True"
"_sqlServerAgent","16/08/2010 11:57:59","True"
"_sqlServerInstance","16/08/2010 11:59:18","True"
"_SRCC","10/06/2014 08:54:12","True"
"_sumus","22/02/2013 07:30:37","True"
"_super_individual","10/06/2019 12:11:45","True"
"_superarraiario","02/07/2019 18:13:20","True"
"_superbotao","19/02/2013 10:48:53","True"
"_supergasbras_relaci","10/06/2019 12:12:39","True"
"_supermonitor","22/05/2009 17:22:32","False"
"_svcpvs71","31/07/2014 11:47:58","True"
"_svcxenapp50","31/07/2014 11:46:21","True"
"_svcxenapp65","31/07/2014 10:00:52","True"
"_SWSUser","02/12/2006 21:36:59","True"
"_sysevault","16/04/2013 11:39:12","True"
"_TADADM","27/08/2013 10:41:11","True"
"_taddm","20/05/2013 14:57:33","True"
"_tamesso","17/11/2008 11:28:02","True"
"_tamforeb","11/12/2018 12:52:52","True"
"_tanques_vasilhames","23/03/2020 14:31:50","True"
"_tcitrix","05/09/2012 11:52:08","True"
"_testelync","20/05/2011 17:21:16","True"
"_testesmtp","12/11/2012 12:50:15","True"
"_themis_prd","27/08/2013 10:21:38","True"
"_themis-hml","17/09/2012 16:21:32","True"
"_tivitteste","24/01/2010 22:32:37","False"
"_tivitteste2","24/01/2010 23:48:40","False"
"_totvs11-ad","21/08/2014 15:11:28","True"
"_tpdd","27/06/2018 12:22:35","True"
"_treinamento01","18/01/2018 14:27:17","False"
"_treinamento02","18/01/2018 14:27:24","False"
"_treinamento03","18/01/2018 14:27:25","False"
"_treinamento04","18/01/2018 14:27:27","False"
"_treinamento05","18/01/2018 14:27:28","False"
"_treinamento06","18/01/2018 14:27:30","False"
"_treinamento07","18/01/2018 14:27:31","False"
"_treinamento08","18/01/2018 14:27:32","False"
"_treinamento09","18/01/2018 14:27:34","False"
"_treinamento10","18/01/2018 14:27:35","False"
"_treinamento11","18/01/2018 14:27:36","False"
"_treinamento12","18/01/2018 14:27:38","False"
"_treinamento13","18/01/2018 14:27:39","False"
"_treinamento14","18/01/2018 14:27:41","False"
"_treinamento15","18/01/2018 14:27:42","False"
"_treinamento16","18/01/2018 14:27:43","False"
"_treinamento17","18/01/2018 14:27:44","False"
"_treinamento18","18/01/2018 14:27:46","False"
"_treinamento19","18/01/2018 14:27:47","False"
"_treinamento20","18/01/2018 14:27:48","False"
"_treinamento21","18/01/2018 14:27:50","False"
"_treinamento22","18/01/2018 14:27:51","False"
"_treinamento23","18/01/2018 14:27:52","False"
"_treinamento24","18/01/2018 14:27:54","False"
"_treinamento25","18/01/2018 14:27:55","False"
"_treinamento26","18/01/2018 14:27:56","False"
"_treinamento27","18/01/2018 14:27:58","False"
"_treinamento28","18/01/2018 14:27:59","False"
"_treinamento29","18/01/2018 14:28:00","False"
"_treinamento30","18/01/2018 14:28:02","False"
"_treinamento31","18/01/2018 14:28:03","False"
"_treinamento32","18/01/2018 14:28:04","False"
"_treinamento33","18/01/2018 14:28:06","False"
"_treinamento34","18/01/2018 14:28:07","False"
"_trixlog-hml","18/10/2016 12:48:56","True"
"_tz0","16/08/2010 11:07:16","True"
"_tz0agent","08/01/2013 14:52:16","True"
"_UIPath","05/02/2019 16:15:16","True"
"_ultimus","08/02/2010 08:47:01","True"
"_usnroteiros","15/04/2013 07:29:46","True"
"_UsrHypAD","06/12/2016 16:40:24","True"
"_vcb","20/08/2010 15:04:25","True"
"_videovpn","22/02/2013 16:36:47","True"
"_virtadmin","23/07/2009 15:32:17","True"
"_vmc","29/05/2013 07:31:21","True"
"_vmc-arrecadacao","29/05/2013 10:28:15","True"
"_vmware","21/03/2016 18:29:16","True"
"_vpn","03/08/2009 15:18:39","True"
"_vpn-fortinet","30/05/2017 16:13:38","True"
"_wcmadmin","19/12/2008 14:33:49","True"
"_webenergy","24/09/2012 10:53:03","True"
"_webspeed","21/10/2008 15:58:26","True"
"_wiseit_hml-sol_serv","07/11/2013 16:38:17","True"
"_wiseit-chamado","19/06/2013 17:55:24","True"
"_wiseitdev","13/01/2010 08:56:09","True"
"_wiseithml","17/06/2010 11:59:48","True"
"_Wiseit-homologacao","20/12/2010 10:16:50","True"
"_wiseitprd","16/06/2010 16:41:58","True"
"_wiseitsappi","01/11/2016 06:44:11","True"
"_wiseit-soli_servico","11/07/2013 18:08:25","True"
"_wiseittrn","17/06/2010 12:00:54","True"
"_wpadmin","22/12/2009 14:33:47","True"
"_wpadminprd","13/11/2009 10:12:37","True"
"_wpbind","01/06/2010 16:45:18","True"
"_wpbind2","04/06/2010 13:46:24","True"
"_wpprod","20/10/2009 15:15:05","True"
"_wss","29/01/2014 12:55:53","True"
"_wsspesq","06/08/2008 12:15:32","True"
"_xerox","24/01/2008 12:27:52","False"
"28759D64-BE69-4C43-9","20/04/2013 21:46:26","False"
"72C44012-1BFD-4746-9","20/04/2013 21:46:26","False"
"99FE705C-CA10-4D19-B",,"True"
"9F850EEB-58E8-4239-9","20/08/2007 15:41:02","False"
"a.filho",,"False"
"a.pereira","23/03/2020 08:01:25","False"
"a.pinheiro","18/02/2020 07:09:35","False"
"A4D8E4B5-BA4F-491B-9","13/01/2010 11:05:36","False"
"aabatista","14/02/2020 10:36:09","False"
"aabrito","05/03/2020 07:23:42","False"
"aacastro","24/09/2019 14:28:05","False"
"aae","22/02/2017 08:50:23","False"
"aafernandes","28/02/2020 09:27:07","False"
"aafreitas","20/09/2018 09:40:29","False"
"aagostinis","20/02/2020 10:03:17","False"
"aagsilva","17/09/2018 13:17:31","False"
"AAguiar","24/02/2020 06:44:57","False"
"aalmeida",,"False"
"aamaral","28/02/2020 09:00:16","False"
"aanascimento","14/03/2016 09:05:21","False"
"aandrade","13/08/2016 09:42:29","False"
"aandre","26/06/2018 09:54:11","False"
"aanselmo","20/02/2020 04:30:47","False"
"aaoliveira","20/03/2020 10:52:06","False"
"aapsilva","23/03/2020 11:30:58","False"
"aaquino",,"False"
"aarsilva","08/08/2019 09:25:48","False"
"aasantos","13/02/2020 07:18:31","False"
"aasilva","16/04/2019 09:22:22","False"
"aasilveira","16/03/2020 17:11:22","False"
"aassantos","21/06/2018 08:28:03","False"
"AAssis","01/08/2019 09:43:38","False"
"aazevedo","04/05/2018 08:12:10","False"
"abaldotto","13/03/2020 07:41:23","False"
"abaptista","27/02/2020 08:34:24","False"
"abarbosa","16/04/2018 13:52:57","False"
"abarboza","10/02/2020 14:33:39","False"
"abaron","16/03/2020 15:49:05","False"
"abarreto","10/02/2020 08:24:29","False"
"abarros",,"False"
"abasilio","05/09/2019 11:02:56","False"
"Abastecimento","21/01/2010 13:41:39","True"
"abastos","20/05/2019 12:14:05","False"
"abcardoso","05/03/2020 10:09:01","False"
"aben","05/09/2017 08:36:29","False"
"abernardino","23/03/2020 07:41:30","False"
"abet","17/12/2019 11:44:14","False"
"abfilho","20/09/2018 15:38:45","False"
"abgutierrez","08/10/2015 15:56:08","False"
"abispo","02/03/2020 07:25:26","False"
"abmoreira","29/11/2018 07:33:37","False"
"abomfim","06/04/2018 12:31:41","False"
"abonfim","24/10/2017 10:18:44","False"
"abortolan","22/02/2020 08:19:57","False"
"abrandao","20/03/2020 09:49:18","False"
"abrito","13/09/2019 18:02:35","False"
"absantos","31/10/2019 16:19:34","False"
"absouza","26/06/2015 16:47:32","False"
"ac_ems_med_comp","29/08/2011 10:35:17","True"
"acabreu","06/05/2019 08:10:01","False"
"acadete","24/02/2020 06:59:09","False"
"acajueiro","06/03/2020 07:17:58","False"
"acamara",,"False"
"acamelo","28/02/2020 08:23:04","False"
"ACampos","26/02/2020 14:15:45","False"
"acandrade","19/03/2020 13:05:54","False"
"acantunes","16/03/2020 08:28:48","False"
"acanuto","20/03/2020 20:33:06","False"
"Acardoso","26/02/2020 10:18:44","False"
"acarneiro","09/03/2020 18:04:12","False"
"ACarreiro","11/06/2018 09:11:55","False"
"acarvalho","02/03/2020 10:00:41","False"
"acastro","17/06/2016 09:05:40","False"
"acavalcante","16/03/2020 05:56:03","False"
"accampos","20/02/2020 08:36:05","False"
"accastro","26/02/2020 08:26:05","False"
"acesario","16/03/2020 10:17:25","False"
"acfraga","17/02/2020 08:39:16","False"
"acfreitas","13/03/2020 10:43:36","False"
"achnascimento","17/03/2020 07:41:32","False"
"acjunior","02/03/2020 08:51:21","False"
"acnascimento","02/03/2020 05:38:56","False"
"acorrea","17/02/2020 07:59:46","False"
"acortes","12/03/2020 14:32:58","False"
"acosta","28/02/2020 06:28:13","False"
"ACozzolino","09/11/2018 09:36:04","False"
"acrosa",,"False"
"ACSantos","09/03/2020 09:57:58","False"
"acsbsantos","27/04/2018 08:53:40","False"
"acsouza","09/03/2020 08:20:25","False"
"acustodio","20/01/2020 11:53:45","False"
"ACVieira","16/03/2020 07:36:37","False"
"adamico","06/03/2020 07:29:59","False"
"adaoliveira","12/03/2020 13:20:43","False"
"ADare","20/02/2020 09:48:40","False"
"adarze","09/03/2020 07:52:24","False"
"adasantos","20/02/2020 09:55:40","False"
"adbarbosa","02/03/2020 05:06:39","False"
"adbsilva",,"False"
"ADcarvalho","10/02/2020 09:49:16","False"
"adcosta",,"False"
"adelavia","05/03/2020 10:34:29","False"
"adenilson.salvade","20/02/2020 07:53:24","False"
"adenucci","19/03/2020 08:34:43","False"
"ADERosa","05/02/2020 07:42:00","False"
"ADFernandes","17/03/2020 13:14:05","False"
"ADFerreira","03/03/2020 08:23:22","False"
"adfonseca","22/02/2020 07:12:44","False"
"adfsilva","25/11/2019 11:38:57","False"
"adilson.silva","02/03/2020 17:02:59","False"
"ADiniz","21/09/2018 10:24:02","False"
"adlima","15/01/2020 11:47:16","False"
"adm_frota_leve","18/07/2018 13:11:40","True"
"adm_ged","29/11/2010 14:12:24","True"
"adm_NF","25/03/2014 15:47:25","True"
"adm_ti","11/02/2011 10:13:12","True"
"admin_pst","02/07/2019 08:50:30","True"
"administracaosuperca","06/01/2011 14:59:02","True"
"administrativo","12/03/2020 09:36:33","True"
"admintemp","29/09/2014 14:14:26","True"
"admnegocio1","24/07/2012 14:58:55","True"
"admnegocio2","24/07/2012 14:59:40","True"
"ADM-Seguros","03/08/2011 14:38:51","True"
"admuniz","12/09/2018 08:33:03","False"
"adneto","14/02/2020 08:58:28","False"
"adoliveira","14/03/2020 13:09:01","False"
"adreis","26/02/2020 08:09:06","False"
"adriana.capistrano","21/02/2020 17:27:31","False"
"adriana.moraes","20/02/2020 08:01:33","False"
"adriana.rezende","10/03/2020 08:46:08","False"
"adribeiro","19/03/2020 17:05:54","False"
"adrumond","13/02/2020 10:20:25","False"
"ADSantos","12/03/2020 08:49:46","False"
"adsilva","21/02/2020 07:47:41","False"
"adsribeiro",,"False"
"adssantos","17/03/2020 12:24:42","False"
"aduarte","23/07/2019 06:38:19","False"
"aedantas","27/02/2020 09:13:55","False"
"aesantos","19/03/2020 08:50:40","False"
"afalmeida","23/03/2020 08:34:46","False"
"afarias","09/08/2018 09:21:43","False"
"afavoreto","24/02/2020 06:06:15","False"
"afazolo","11/07/2019 07:26:14","False"
"afbarbosa","31/05/2019 07:42:18","False"
"afcarneiro","17/09/2018 07:42:23","False"
"afcosta","17/03/2020 07:20:11","False"
"aferreira","11/04/2018 08:38:13","False"
"afgomes","05/03/2020 16:05:54","False"
"afigueiredo","23/03/2020 07:59:54","False"
"aflima","30/07/2018 15:02:55","False"
"afmiranda","17/02/2020 09:18:21","False"
"afonseca","05/03/2020 11:34:21","False"
"afpereira","26/02/2018 16:56:40","False"
"afranca","16/03/2020 07:59:39","False"
"afreitas","12/03/2020 07:51:47","False"
"afsantos","31/08/2018 14:54:34","False"
"aftavares","17/02/2020 09:04:15","False"
"AGalvao","14/02/2020 17:18:07","False"
"agarcez",,"False"
"agarofalo","27/02/2020 07:44:56","False"
"agaspar","20/02/2020 08:38:06","False"
"agasparele","17/02/2020 07:04:10","False"
"agbarros","09/03/2020 13:15:28","False"
"agcarvalho","13/02/2020 11:30:41","False"
"agendamento","24/01/2018 15:01:32","False"
"agguedes","28/01/2020 10:41:35","False"
"aghedin","11/03/2020 07:18:55","False"
"AGoncalves","04/03/2020 18:10:39","False"
"agori","16/03/2020 17:05:39","False"
"agrande","20/11/2019 12:25:54","False"
"agroisman","10/02/2020 11:13:13","False"
"agsantana","28/02/2020 14:11:08","False"
"agsantos","19/03/2020 15:18:37","False"
"agsoliveira","10/06/2019 13:54:43","False"
"aguedes","17/03/2020 10:03:01","False"
"aguimaraes","14/02/2020 08:08:33","False"
"ahlima","14/03/2020 13:28:33","False"
"ahpsilva","11/03/2020 09:10:10","False"
"AHSilva","02/03/2020 08:59:32","False"
"aibsilva","19/03/2020 15:01:36","False"
"aijunior",,"False"
"ainojosa","15/01/2018 07:52:08","False"
"aioliveira","02/03/2020 08:56:15","False"
"ajamorim","20/01/2020 12:48:45","False"
"ajbrito","12/03/2020 09:56:15","False"
"ajfreitas","19/04/2018 09:21:14","False"
"ajsantos","29/07/2019 08:27:35","False"
"ajschouwenaar","11/03/2020 12:33:54","False"
"aknascimento","20/02/2020 09:11:20","False"
"akruger",,"False"
"aksousa","23/11/2018 14:17:30","False"
"alan.pereira",,"False"
"alan.rosario",,"False"
"alapereira","11/02/2020 11:30:23","False"
"alaporte","12/03/2020 16:22:07","False"
"alaraujo","10/02/2020 08:39:31","False"
"alasantos","29/04/2019 09:26:03","False"
"alasouza",,"False"
"AlAzevedo","17/02/2020 08:32:48","False"
"albarros","13/03/2020 14:47:03","False"
"albrito","12/03/2020 11:50:44","False"
"alcampos","08/01/2019 12:08:49","False"
"aldo.pereira","27/02/2020 16:01:15","False"
"aleandrade","13/03/2020 16:14:51","False"
"alegomes","05/09/2019 15:11:11","False"
"ALeitao","27/02/2020 11:47:47","False"
"alemartins","20/01/2020 08:07:46","False"
"alemos","05/03/2020 08:39:07","False"
"alepsilva","27/02/2020 05:58:30","False"
"alerta","12/12/2019 09:33:14","True"
"alesalves","02/03/2020 08:25:11","False"
"alesilva","06/06/2019 06:35:00","False"
"alessilva","13/03/2020 12:00:22","False"
"alex.rocha","26/09/2019 11:44:54","False"
"alex.santos","17/03/2020 08:25:39","False"
"alexandre.abreu","02/03/2020 11:13:21","False"
"alexandre.costa","15/02/2020 08:57:30","False"
"alexandre.m.silva",,"False"
"alfonseca","04/11/2014 14:25:51","False"
"algoncalves","20/02/2020 09:36:41","False"
"alima","04/06/2019 14:19:54","False"
"aline.arantes","03/03/2020 12:54:18","False"
"alino","12/03/2020 13:51:46","False"
"alisson.lobato","11/03/2020 09:08:29","False"
"allan.sousa","21/02/2020 11:55:38","False"
"allsilva","09/03/2020 13:10:01","False"
"allyffer.paula",,"False"
"almartins","09/03/2020 06:23:33","False"
"almonteiro","13/02/2020 11:31:05","False"
"almsouza","13/09/2018 15:34:17","False"
"alnpereira","03/04/2018 09:12:23","False"
"ALobo","14/02/2020 08:28:32","False"
"aloliveira","19/02/2018 13:51:48","False"
"alopes","12/03/2020 15:24:38","False"
"alpsilva","17/02/2020 06:24:48","False"
"AlRocha","20/02/2020 10:53:38","False"
"alsalves","02/03/2020 14:12:32","False"
"alsantana","04/03/2020 07:49:29","False"
"alsantos","21/02/2018 13:56:55","False"
"alsilva","12/03/2020 09:06:05","False"
"alsousa","19/10/2018 10:00:30","False"
"alsouza","11/01/2019 11:43:10","False"
"alssouza","09/03/2020 06:13:32","False"
"alyoliveira","01/07/2019 09:02:54","False"
"alzsilva","05/03/2020 07:04:33","False"
"amacintyre","27/02/2020 08:46:19","False"
"amaia","17/02/2020 10:38:01","False"
"amalagon","28/11/2019 11:25:29","False"
"amanda.souza","27/02/2020 09:13:08","False"
"amandio.filho","12/03/2020 08:29:53","False"
"amarcorin","09/02/2019 08:46:14","False"
"amartins","17/03/2020 08:10:05","False"
"amasantos","03/02/2020 09:59:28","False"
"amassa","17/02/2020 09:06:43","False"
"amatos","27/11/2019 09:31:16","False"
"amatta","27/02/2020 07:35:50","False"
"ameira","27/06/2019 09:27:54","False"
"amendes","16/03/2020 10:10:01","False"
"ameschiatto","18/03/2020 09:46:50","False"
"amiranda","18/07/2019 10:56:23","False"
"amlima","12/02/2020 07:08:14","False"
"ammelo","17/02/2020 06:43:24","False"
"amoreira","14/03/2020 20:35:47","False"
"amota","24/02/2020 07:56:10","False"
"ampeixoto","23/03/2020 08:09:16","False"
"amrodrigues","03/06/2019 13:40:56","False"
"AMSantos","17/02/2020 08:39:13","False"
"amsena","10/03/2020 10:31:23","False"
"amsouza","16/03/2020 09:05:52","False"
"amurcia","23/03/2020 07:50:52","False"
"AMZMonitorPrice","12/05/2008 13:52:48","True"
"ana.ferreira","22/03/2020 12:55:34","False"
"ana.monteiro","09/03/2020 07:26:01","False"
"ana.santos","17/03/2020 09:34:05","False"
"ana.souza","19/02/2020 10:48:31","False"
"anallya.santos","09/03/2020 08:09:30","False"
"analmeida","07/01/2020 13:40:11","False"
"anamaral",,"False"
"ANardino","10/02/2020 09:09:50","False"
"anarodrigues","05/03/2020 14:51:18","False"
