#TYPE Selected.Microsoft.ActiveDirectory.Management.ADUser
"SamAccountName","passwordlastset","passwordneverexpires","Enable"
"_asp_admissao","07/08/2018 17:32:26","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ativacao-sfe","02/05/2012 09:21:18","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_auditoriainterna","21/09/2016 14:27:15","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_automacaobancaria","14/03/2013 10:18:13","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_automatos","30/09/2019 11:55:04","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_automic","26/04/2018 16:23:50","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_Backup","06/04/2009 18:07:55","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_backup_services","02/07/2009 15:08:10","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_backup_sql","17/05/2010 11:49:51","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_backup-MCT","14/04/2009 14:50:46","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_Backuprcx","26/01/2010 13:46:52","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_bpm","25/03/2009 16:49:27","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_cacic","06/02/2009 09:52:06","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_cadastro","20/08/2009 12:05:33","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_caSGB","11/04/2019 12:16:25","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_citrix-ds","04/06/2008 18:46:31","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_cluster-evault","13/10/2010 08:50:15","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_Cluster-exchange","13/09/2012 23:12:10","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_cluster-FileServer","20/07/2012 16:07:11","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_cluster-ged","13/08/2009 09:07:26","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_cluster-gedb","13/08/2009 10:50:32","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_CLUSTER-SQL","14/02/2008 20:17:28","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_compuware","14/12/2009 10:17:55","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_comunicacao_sgi","19/03/2018 11:02:44","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_concessonariasQAS","15/08/2019 11:10:28","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_controladoralcd","20/05/2010 16:50:05","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_controlmhml","17/02/2017 07:25:26","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_CORE","10/11/2008 09:13:13","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_cpj","04/06/2008 19:46:52","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_credito","31/07/2013 12:47:36","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_cripto","26/10/2009 08:35:02","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_CTMAGPRD","10/07/2015 12:28:00","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ctxadmin","05/08/2014 16:04:39","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_cyberark","08/11/2019 17:14:20","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_datafactory","19/07/2019 19:12:09","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_dell-boomi","13/09/2018 07:58:52","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_descarteti","06/08/2018 17:06:40","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_desenv-hyp","22/07/2008 18:07:25","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_desinfect","01/04/2009 16:24:44","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_dimep","18/09/2014 11:10:58","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_dispara","16/10/2009 17:31:03","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_dlp-discover","01/09/2016 10:12:53","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ecapex","14/07/2008 12:21:58","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ecs","05/10/2005 15:29:30","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_edgesite","16/09/2009 08:58:54","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_EPM","02/01/2008 15:44:13","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_EPM-SSP","02/01/2008 16:20:36","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ETLLumisHML","03/06/2014 15:35:27","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ETLLumisPRD","11/11/2011 10:41:10","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_etlmisdev","03/06/2014 15:59:40","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_etlmishml","03/06/2014 15:34:45","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_etlmisprd","31/10/2011 09:58:27","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_etlolapprd","23/12/2011 09:15:09","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_etlpinhml","03/06/2014 15:33:37","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_etlpinprd","28/10/2011 14:15:52","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ETLSalesForceHML","03/06/2014 15:32:31","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ETLSalesForcePRD","28/03/2011 14:50:26","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ETLSRCCHML","03/06/2014 15:36:39","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ETLSRCCPRD","24/07/2012 09:26:41","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_evault","30/01/2015 16:51:27","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_exadmindtc","29/06/2009 10:12:13","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_exch","17/02/2014 11:00:41","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_exchange-recover","09/10/2012 16:15:35","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_exchsrvr","08/11/2006 12:46:33","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_fax_usn",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_frog","09/08/2013 13:48:08","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_gaia","25/05/2012 12:24:40","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_gaia2","29/11/2006 21:05:20","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_gaia-hml","29/11/2006 21:11:14","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_gps-homolog","28/05/2008 14:08:36","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_greenmile-hml","17/03/2017 11:44:45","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_greenmile-prd","11/04/2017 18:25:35","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_Helpdesk","16/03/2006 10:23:15","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_henry","25/10/2010 15:39:09","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_highsec","16/02/2011 14:34:18","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_highsec_desenv","04/05/2011 15:27:05","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_horaciusadm","17/04/2019 15:02:58","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_horcagent","06/05/2019 10:15:58","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_Hyperion","29/11/2006 17:21:34","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_hyperion-prd","23/01/2017 08:05:41","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_IBMON","18/01/2005 07:19:05","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_incidentes_DLP","10/11/2009 10:10:15","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_Instancia-SQL","14/02/2008 23:56:09","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_intalio_AD","10/09/2008 14:54:45","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_integrafacil","31/01/2020 10:58:53","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_integrafacilqa","29/11/2019 15:43:12","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_inteligenciamercado","07/08/2019 10:55:39","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_intranet","22/09/2014 16:37:10","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_iona","16/12/2008 09:35:22","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_isaserver","25/07/2008 16:17:09","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_jboss","23/11/2011 12:28:27","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_jenkins-dev","28/04/2017 14:53:25","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_jenkins-prd","28/04/2017 14:55:01","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_jenkins-qa","28/04/2017 14:44:56","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_jenkins-server","29/06/2017 09:26:49","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_jira","25/08/2009 17:33:50","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_kpmg_pt",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_lmagent","02/09/2011 11:54:32","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_logwatch","25/11/2010 11:26:31","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_lumis","07/12/2010 08:27:02","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_lumis2","10/12/2010 11:43:48","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_lumis-hml","16/11/2010 15:34:18","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_lwc","14/09/2016 10:00:55","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_lync","04/05/2011 11:18:39","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_manutdadoscad","05/06/2012 11:34:16","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_marketing","22/09/2016 13:17:25","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_mdtbuild","03/04/2012 13:29:23","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_mehomolog","18/12/2009 10:14:27","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_meprod","18/12/2009 10:15:16","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_meraki","30/10/2019 11:56:35","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_migracao-Portal","27/07/2009 12:12:50","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_MIGSRCC","29/08/2013 10:22:56","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_mobile","29/06/2009 10:12:13","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_modelo",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_monitor","14/09/2009 08:05:19","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_monitoramento-nfp","26/03/2018 10:47:49","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_monitores","27/08/2009 09:54:10","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_monitoria-mde","11/03/2015 10:36:11","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_monitorprod","13/02/2014 13:14:28","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_neoload","28/10/2009 13:34:12","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_netbackup","05/03/2008 09:48:07","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_netbakup","11/04/2018 10:40:21","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_nfe","21/09/2008 22:04:08","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_nfecontingenciaQAS","15/08/2019 11:09:02","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_nfse","29/11/2019 09:54:40","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_nfservico-qas","11/07/2019 15:05:38","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_novolumis","18/08/2017 14:04:18","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ntpquota","09/06/2010 15:59:04","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ocs","12/04/2010 12:21:13","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_OKTA","05/10/2018 11:37:53","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_OlapCubePRD","08/03/2012 10:08:25","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_paguei","16/08/2018 13:43:38","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_password","23/07/2009 15:32:15","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_pedidosimp","30/08/2010 15:49:22","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_poc_uoldiveo","15/06/2015 12:32:21","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_poc-impressao","11/04/2012 16:56:06","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_portal","27/08/2009 17:12:13","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_preged","28/04/2010 17:35:27","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_primeprod","08/09/2010 15:09:20","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_processos-themis","03/10/2013 14:06:30","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_prodhyp11","03/10/2011 10:02:09","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_projeto_USN_2_0","14/02/2014 16:48:05","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_projetotroca","21/10/2016 12:42:57","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_projeto-wiseit","30/07/2013 15:49:46","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ptwebadmin","15/12/2011 14:29:36","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_qlikview","01/12/2010 09:57:38","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_qnap","10/06/2019 09:55:34","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_qualidade","06/10/2014 15:47:43","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_qualys-scanner","13/11/2018 14:16:06","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_rapid7","06/02/2020 16:08:33","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_reclameaqui","30/04/2018 10:01:54","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_relnfs","09/02/2010 13:46:41","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_replicator","04/09/2009 11:17:32","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_rfcuser","30/06/2015 11:43:52","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_rfp-ti","10/03/2015 15:12:32","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_ricoh","12/07/2012 15:19:24","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_RPACAD01","16/03/2020 11:30:35","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_rpacelog01","23/05/2019 15:09:09","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_rpaceman01","31/01/2020 16:40:57","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_rpatribut01","24/07/2019 11:31:36","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_rpw1801","10/11/2006 18:39:35","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_rpw1802","10/11/2006 16:01:44","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_rpw1803","10/11/2006 15:41:24","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_rpw1804","10/11/2006 15:23:08","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_RRas",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sags","22/11/2010 16:19:30","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_salesforceprod","27/06/2011 10:43:02","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_san","25/03/2009 20:09:33","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sancripto","04/11/2009 12:49:09","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sandesliga","10/02/2009 13:58:01","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sap-grc-ac","09/02/2015 09:53:15","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sccmadmin","03/04/2012 13:23:47","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_SEC_LDAP","27/07/2018 18:01:13","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_selftamesso","15/04/2009 10:05:03","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sep","28/10/2008 11:10:12","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_server",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_servicemix","15/01/2009 08:37:11","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_servicenow","07/05/2019 14:54:41","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_servico-core","19/06/2008 14:09:34","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_servico-sse","10/01/2018 15:56:42","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_servico-SSF","07/05/2012 10:00:06","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sessao","09/11/2006 17:41:48","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sessao-hyp","31/10/2007 14:01:03","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sessao-vm","28/03/2008 16:35:38","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_SFEWISEIT","11/03/2014 14:25:31","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sinc-shvb","09/11/2006 17:33:41","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sistemas","06/03/2012 14:26:23","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sistema-sap-hmlg","29/12/2014 08:29:32","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sistema-sap-prod","03/06/2017 10:46:44","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sitescope","14/12/2018 14:07:04","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sivanfe","28/09/2015 15:06:02","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_skcrisplan","06/08/2014 15:55:20","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sms","13/08/2007 10:00:12","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_smsldap","16/09/2009 18:20:40","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_smtperp","16/08/2019 16:07:52","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_solidus","27/09/2012 15:34:44","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sonic","22/03/2010 15:59:12","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sonicH","22/03/2010 15:57:37","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_spnego","27/05/2010 11:07:28","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_SQLAgent","27/06/2005 11:43:43","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sqlFullTextSearch","16/08/2010 10:20:02","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sqlIS","16/08/2010 10:20:33","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sqlRS","02/04/2012 10:45:53","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_SQLServer","09/11/2006 17:53:16","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sqlServerAgent","16/08/2010 11:57:59","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sqlServerInstance","16/08/2010 11:59:18","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_SRCC","10/06/2014 08:54:12","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sumus","22/02/2013 07:30:37","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_super_individual","10/06/2019 12:11:45","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_superarraiario","02/07/2019 18:13:20","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_superbotao","19/02/2013 10:48:53","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_supergasbras_relaci","10/06/2019 12:12:39","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_supermonitor","22/05/2009 17:22:32","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_svcpvs71","31/07/2014 11:47:58","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_svcxenapp50","31/07/2014 11:46:21","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_svcxenapp65","31/07/2014 10:00:52","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_SWSUser","02/12/2006 21:36:59","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_sysevault","16/04/2013 11:39:12","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_TADADM","27/08/2013 10:41:11","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_taddm","20/05/2013 14:57:33","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_tamesso","17/11/2008 11:28:02","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_tamforeb","11/12/2018 12:52:52","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_tanques_vasilhames","23/03/2020 14:31:50","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_tcitrix","05/09/2012 11:52:08","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_testelync","20/05/2011 17:21:16","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_testesmtp","12/11/2012 12:50:15","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_themis_prd","27/08/2013 10:21:38","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_themis-hml","17/09/2012 16:21:32","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_tivitteste","24/01/2010 22:32:37","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_tivitteste2","24/01/2010 23:48:40","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_totvs11-ad","21/08/2014 15:11:28","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_tpdd","27/06/2018 12:22:35","True","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_treinamento01","18/01/2018 14:27:17","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_treinamento02","18/01/2018 14:27:24","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_treinamento03","18/01/2018 14:27:25","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_treinamento04","18/01/2018 14:27:27","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"_treinamento05","18/01/2018 14:27:28","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
